Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.103549,2.103549,0.0,0.0,libjpeg-183418da.so.9.4.0,jpeg_idct_16x16,[Unknown],0x29470
func@0x15060,1.390412,1.390412,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x15060,[Unknown],0x15060
__memmove_avx_unaligned_erms,0.959997,0.959997,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
jpeg_idct_islow,0.652054,0.652054,0.0,0.0,libjpeg-183418da.so.9.4.0,jpeg_idct_islow,[Unknown],0x25cb0
__libc_calloc,0.398770,0.398770,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
ImagingUnpackRGB,0.255979,0.255979,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x699c0
func@0x17770,0.095973,0.095973,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x17770,[Unknown],0x17770
func@0x13fb0,0.083993,0.083993,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x13fb0,[Unknown],0x13fb0
__memset_avx2_unaligned_erms,0.019998,0.019998,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
_int_free,0.010000,0.010000,0.0,0.0,libc.so.6,_int_free,malloc.c,0x96840
func@0x16210,0.008015,0.008015,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x16210,[Unknown],0x16210
